country_code,country_name,year,pfm_inst,digital_inst,hrms_inst,justice_inst,political_inst,social_inst,integrity_inst,transparency_inst,env_inst,gdppc,govdebt,region,income,lending
ABW,Aruba,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,34579.220639762,NA,Latin America & Caribbean,High income,Not classified
AFG,Afghanistan,1990,NA,0,0.3305795,NA,0.3569676,NA,0.4227274,NA,NA,NA,NA,South Asia,Low income,IDA
AGO,Angola,1990,NA,0,0.2919287,NA,0.394373,NA,0.2875889,NA,NA,7391.75235368345,NA,Sub-Saharan Africa,Lower middle income,IBRD
ALB,Albania,1990,NA,0,0.3872593,NA,0.479432,NA,0.7429043,NA,NA,5332.58042761971,NA,Europe & Central Asia,Upper middle income,IBRD
AND,Andorra,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,50036.3007757561,NA,Europe & Central Asia,High income,Not classified
ARE,United Arab Emirates,1990,NA,0,0.3723516,NA,0.2463112,NA,0.7568731,NA,NA,108057.042463812,NA,Middle East & North Africa,High income,Not classified
ARG,Argentina,1990,NA,0,0.6360073,NA,0.5037275,NA,0.2415532,NA,NA,17007.2844317191,NA,Latin America & Caribbean,Upper middle income,IBRD
ARM,Armenia,1990,NA,0,0.5772729,NA,NA,NA,0.6054564,NA,NA,6137.60045786761,NA,Europe & Central Asia,Upper middle income,IBRD
ASM,American Samoa,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,East Asia & Pacific,Upper middle income,Not classified
ATG,Antigua and Barbuda,1990,NA,0.2222222,NA,NA,NA,NA,NA,NA,NA,21078.7855474879,NA,Latin America & Caribbean,High income,IBRD
AUS,Australia,1990,NA,0,0.9147683,NA,0.5756105,NA,0.8032851,NA,NA,36205.2747932163,12.227485341102,East Asia & Pacific,High income,Not classified
AUT,Austria,1990,NA,0.1111111,0.7678856,NA,0.5680164,NA,0.8021563,NA,NA,43310.9138981204,NA,Europe & Central Asia,High income,Not classified
AZE,Azerbaijan,1990,NA,0,0.3868296,NA,NA,NA,0.3759372,NA,NA,10612.9666645849,NA,Europe & Central Asia,Upper middle income,IBRD
BDI,Burundi,1990,NA,0.1111111,0.3418741,NA,0.4595198,NA,0.5745339,NA,NA,1396.07762688916,NA,Sub-Saharan Africa,Low income,IDA
BEL,Belgium,1990,NA,0.1111111,0.7851568,NA,0.6108479,NA,0.830183,NA,NA,41658.4327142657,NA,Europe & Central Asia,High income,Not classified
BEN,Benin,1990,NA,0,0.5589929,NA,0.6540793,NA,0.3365594,NA,NA,2207.06796428357,NA,Sub-Saharan Africa,Lower middle income,IDA
BFA,Burkina Faso,1990,NA,0,0.5553247,NA,0.5029933,NA,0.3145208,NA,NA,1107.85590454965,NA,Sub-Saharan Africa,Low income,IDA
BGD,Bangladesh,1990,NA,0,0.373286,NA,0.4337019,NA,0.1682618,NA,NA,2069.78230100672,NA,South Asia,Lower middle income,IDA
BGR,Bulgaria,1990,NA,0,0.6388355,NA,0.7242973,NA,0.6274952,NA,NA,14955.0426448692,NA,Europe & Central Asia,Upper middle income,IBRD
BHR,Bahrain,1990,NA,0,0.3958645,NA,NA,NA,NA,NA,NA,41856.54450772,7.67539435426901,Middle East & North Africa,High income,Not classified
BHS,"Bahamas, The",1990,NA,0.2222222,NA,NA,NA,NA,NA,NA,NA,33062.5459044975,24.4188250157928,Latin America & Caribbean,High income,Not classified
BIH,Bosnia and Herzegovina,1990,NA,0,NA,NA,NA,NA,NA,NA,NA,2413.3000950881,NA,Europe & Central Asia,Upper middle income,IBRD
BLR,Belarus,1990,NA,0,0.6405731,NA,NA,NA,0.4720977,NA,NA,12351.635710338,NA,Europe & Central Asia,Upper middle income,IBRD
BLZ,Belize,1990,NA,0.1111111,NA,NA,NA,NA,NA,NA,NA,8243.73265496349,21.1854153340035,Latin America & Caribbean,Upper middle income,IBRD
BMU,Bermuda,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,79109.890649762,NA,North America,High income,Not classified
BOL,Bolivia,1990,NA,0,0.4792102,NA,0.4101941,NA,0.294819,NA,NA,5124.48798003521,NA,Latin America & Caribbean,Lower middle income,IBRD
BRA,Brazil,1990,NA,0.4444444,0.6583428,NA,0.520973,NA,0.3529744,NA,NA,12633.288457041,NA,Latin America & Caribbean,Upper middle income,IBRD
BRB,Barbados,1990,NA,0,0.7229089,NA,0.4954871,NA,0.7741841,NA,NA,16976.7616479779,NA,Latin America & Caribbean,High income,Not classified
BRN,Brunei Darussalam,1990,NA,0,NA,NA,NA,NA,NA,NA,NA,118163.683197804,NA,East Asia & Pacific,High income,Not classified
BTN,Bhutan,1990,NA,0,0.4897145,NA,0.4077166,NA,0.7109737,NA,NA,3411.38375844855,53.3463593270416,South Asia,Lower middle income,IDA
BWA,Botswana,1990,NA,0.2222222,0.6559384,NA,0.4274058,NA,0.7158221,NA,NA,10520.9402101702,11.3711032492715,Sub-Saharan Africa,Upper middle income,IBRD
CAF,Central African Republic,1990,NA,0,0.2924457,NA,0.4862629,NA,0.1887338,NA,NA,1481.25255094258,NA,Sub-Saharan Africa,Low income,IDA
CAN,Canada,1990,NA,NA,0.7669014,NA,0.5777487,NA,0.8662996,NA,NA,40429.9922862543,NA,North America,High income,Not classified
CHE,Switzerland,1990,NA,0,0.831221,NA,0.5785093,NA,0.9407856,NA,NA,63963.1812149831,12.3253217628628,Europe & Central Asia,High income,Not classified
CHI,Channel Islands,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Europe & Central Asia,High income,Not classified
CHL,Chile,1990,NA,0.1111111,0.6617482,NA,0.4798588,NA,0.8347275,NA,NA,11065.1018519279,NA,Latin America & Caribbean,High income,IBRD
CHN,China,1990,NA,0,0.4496683,NA,0.4442784,NA,0.3548631,NA,NA,1645.57894422689,NA,East Asia & Pacific,Upper middle income,IBRD
CIV,Côte d’Ivoire,1990,NA,0,0.5024568,NA,0.4501835,NA,0.3678692,NA,NA,5255.50962638401,NA,Sub-Saharan Africa,Lower middle income,IDA
CMR,Cameroon,1990,NA,0,0.2851908,NA,0.4082647,NA,0.1560275,NA,NA,4517.61887779618,35.6686948009612,Sub-Saharan Africa,Lower middle income,Blend
COD,"Congo, Dem. Rep.",1990,NA,NA,0.18715,NA,0.4084785,NA,0.1086796,NA,NA,2172.00159744544,289.844727083008,Sub-Saharan Africa,Low income,IDA
COG,"Congo, Rep.",1990,NA,0,0.5022269,NA,0.3641834,NA,0.1221911,NA,NA,8699.52683870615,NA,Sub-Saharan Africa,Lower middle income,Blend
COL,Colombia,1990,NA,0.1111111,0.4543757,NA,0.3705471,NA,0.4104463,NA,NA,9998.81069684463,NA,Latin America & Caribbean,Upper middle income,IBRD
COM,Comoros,1990,NA,0,0.4012177,NA,0.4965392,NA,0.2166863,NA,NA,3011.43451135872,NA,Sub-Saharan Africa,Lower middle income,IDA
