country_code,country_name,year,pfm_inst,digital_inst,hrms_inst,justice_inst,political_inst,social_inst,integrity_inst,transparency_inst,env_inst,gdppc,govdebt,cgdppc,region,income,lending
AGO,Angola,1990,NA,0,0.2919287,NA,0.394373,NA,0.2875889,NA,NA,7391.75235368345,NA,2380.17624300565,Sub-Saharan Africa,Lower middle income,IBRD
ALB,Albania,1990,NA,0,0.3872593,NA,0.479432,NA,0.7429043,NA,NA,5332.58042761971,NA,1606.29646776458,Europe & Central Asia,Upper middle income,IBRD
ARE,United Arab Emirates,1990,NA,0,0.3723516,NA,0.2463112,NA,0.7568731,NA,NA,108057.042463812,NA,66979.1559111514,Middle East & North Africa,High income,Not classified
ARG,Argentina,1990,NA,0,0.6360073,NA,0.5037275,NA,0.2415532,NA,NA,17007.2844317191,NA,8115.09386370753,Latin America & Caribbean,Upper middle income,IBRD
ARM,Armenia,1990,NA,0,0.5772729,NA,NA,NA,0.6054564,NA,NA,6137.60045786761,NA,1644.02214502158,Europe & Central Asia,Upper middle income,IBRD
ATG,Antigua and Barbuda,1990,NA,0.2222222,NA,NA,NA,NA,NA,NA,NA,21078.7855474879,NA,13164.2272092671,Latin America & Caribbean,High income,IBRD
AUS,Australia,1990,NA,0,0.9147683,NA,0.5756105,NA,0.8032851,NA,NA,36205.2747932163,12.227485341102,36886.1444273767,East Asia & Pacific,High income,Not classified
AUT,Austria,1990,NA,0.1111111,0.7678856,NA,0.5680164,NA,0.8021563,NA,NA,43310.9138981204,NA,31167.1858089051,Europe & Central Asia,High income,Not classified
AZE,Azerbaijan,1990,NA,0,0.3868296,NA,NA,NA,0.3759372,NA,NA,10612.9666645849,NA,2820.84010307402,Europe & Central Asia,Upper middle income,IBRD
BDI,Burundi,1990,NA,0.1111111,0.3418741,NA,0.4595198,NA,0.5745339,NA,NA,1396.07762688916,NA,427.030031561228,Sub-Saharan Africa,Low income,IDA
BEL,Belgium,1990,NA,0.1111111,0.7851568,NA,0.6108479,NA,0.830183,NA,NA,41658.4327142657,NA,29609.6207847014,Europe & Central Asia,High income,Not classified
BEN,Benin,1990,NA,0,0.5589929,NA,0.6540793,NA,0.3365594,NA,NA,2207.06796428357,NA,749.459666604983,Sub-Saharan Africa,Lower middle income,IDA
BFA,Burkina Faso,1990,NA,0,0.5553247,NA,0.5029933,NA,0.3145208,NA,NA,1107.85590454965,NA,332.153276660935,Sub-Saharan Africa,Low income,IDA
BGD,Bangladesh,1990,NA,0,0.373286,NA,0.4337019,NA,0.1682618,NA,NA,2069.78230100672,NA,473.444821021085,South Asia,Lower middle income,IDA
BGR,Bulgaria,1990,NA,0,0.6388355,NA,0.7242973,NA,0.6274952,NA,NA,14955.0426448692,NA,4431.02891762801,Europe & Central Asia,Upper middle income,IBRD
BHR,Bahrain,1990,NA,0,0.3958645,NA,NA,NA,NA,NA,NA,41856.54450772,7.67539435426901,18345.8379968815,Middle East & North Africa,High income,Not classified
BHS,"Bahamas, The",1990,NA,0.2222222,NA,NA,NA,NA,NA,NA,NA,33062.5459044975,24.4188250157928,31013.4113096277,Latin America & Caribbean,High income,Not classified
BIH,Bosnia and Herzegovina,1990,NA,0,NA,NA,NA,NA,NA,NA,NA,2413.3000950881,NA,791.211670918053,Europe & Central Asia,Upper middle income,IBRD
BLR,Belarus,1990,NA,0,0.6405731,NA,NA,NA,0.4720977,NA,NA,12351.635710338,NA,2888.81907069821,Europe & Central Asia,Upper middle income,IBRD
BLZ,Belize,1990,NA,0.1111111,NA,NA,NA,NA,NA,NA,NA,8243.73265496349,21.1854153340035,4111.68186005974,Latin America & Caribbean,Upper middle income,IBRD
BOL,Bolivia,1990,NA,0,0.4792102,NA,0.4101941,NA,0.294819,NA,NA,5124.48798003521,NA,1679.40847737071,Latin America & Caribbean,Lower middle income,IBRD
BRA,Brazil,1990,NA,0.4444444,0.6583428,NA,0.520973,NA,0.3529744,NA,NA,12633.288457041,NA,6149.86788957152,Latin America & Caribbean,Upper middle income,IBRD
BRB,Barbados,1990,NA,0,0.7229089,NA,0.4954871,NA,0.7741841,NA,NA,16976.7616479779,NA,17426.9351835134,Latin America & Caribbean,High income,Not classified
BRN,Brunei Darussalam,1990,NA,0,NA,NA,NA,NA,NA,NA,NA,118163.683197804,NA,44179.8276912649,East Asia & Pacific,High income,Not classified
BTN,Bhutan,1990,NA,0,0.4897145,NA,0.4077166,NA,0.7109737,NA,NA,3411.38375844855,53.3463593270416,812.671325538642,South Asia,Lower middle income,IDA
BWA,Botswana,1990,NA,0.2222222,0.6559384,NA,0.4274058,NA,0.7158221,NA,NA,10520.9402101702,11.3711032492715,4039.46544455099,Sub-Saharan Africa,Upper middle income,IBRD
CAF,Central African Republic,1990,NA,0,0.2924457,NA,0.4862629,NA,0.1887338,NA,NA,1481.25255094258,NA,519.786735961912,Sub-Saharan Africa,Low income,IDA
CHE,Switzerland,1990,NA,0,0.831221,NA,0.5785093,NA,0.9407856,NA,NA,63963.1812149831,12.3253217628628,70063.8516904882,Europe & Central Asia,High income,Not classified
CHL,Chile,1990,NA,0.1111111,0.6617482,NA,0.4798588,NA,0.8347275,NA,NA,11065.1018519279,NA,5342.5564679352,Latin America & Caribbean,High income,IBRD
CHN,China,1990,NA,0,0.4496683,NA,0.4442784,NA,0.3548631,NA,NA,1645.57894422689,NA,905.032457182312,East Asia & Pacific,Upper middle income,IBRD
CIV,Côte d’Ivoire,1990,NA,0,0.5024568,NA,0.4501835,NA,0.3678692,NA,NA,5255.50962638401,NA,1866.0785698741,Sub-Saharan Africa,Lower middle income,IDA
CMR,Cameroon,1990,NA,0,0.2851908,NA,0.4082647,NA,0.1560275,NA,NA,4517.61887779618,35.6686948009612,1360.47765296011,Sub-Saharan Africa,Lower middle income,Blend
COD,"Congo, Dem. Rep.",1990,NA,NA,0.18715,NA,0.4084785,NA,0.1086796,NA,NA,2172.00159744544,289.844727083008,801.567015056407,Sub-Saharan Africa,Low income,IDA
COG,"Congo, Rep.",1990,NA,0,0.5022269,NA,0.3641834,NA,0.1221911,NA,NA,8699.52683870615,NA,2363.76701814587,Sub-Saharan Africa,Lower middle income,Blend
COL,Colombia,1990,NA,0.1111111,0.4543757,NA,0.3705471,NA,0.4104463,NA,NA,9998.81069684463,NA,3714.1849928328,Latin America & Caribbean,Upper middle income,IBRD
COM,Comoros,1990,NA,0,0.4012177,NA,0.4965392,NA,0.2166863,NA,NA,3011.43451135872,NA,1189.94044420141,Sub-Saharan Africa,Lower middle income,IDA
CPV,Cabo Verde,1990,NA,0,0.4863366,NA,0.5465332,NA,0.6525805,NA,NA,1848.75865235574,NA,835.120723175504,Sub-Saharan Africa,Lower middle income,Blend
CRI,Costa Rica,1990,NA,0.1111111,0.7379472,NA,0.5860914,NA,0.6651772,NA,NA,10953.4262046389,NA,6037.05111668102,Latin America & Caribbean,Upper middle income,IBRD
CYP,Cyprus,1990,NA,0,0.5508458,NA,0.506332,NA,0.6696619,NA,NA,27669.19140625,50.6956998515188,17144.396484375,Europe & Central Asia,High income,Not classified
CZE,Czechia,1990,NA,0,0.7983639,NA,0.6894151,NA,0.5799328,NA,NA,27918.1375199844,NA,11900.5844578811,Europe & Central Asia,NA,NA
DEU,Germany,1990,NA,0,0.9150199,NA,NA,NA,0.902042,NA,NA,42373.5294910572,20.8541847518408,29747.6909405244,Europe & Central Asia,High income,Not classified
DMA,Dominica,1990,NA,0.1111111,NA,NA,NA,NA,NA,NA,NA,10409.117736709,NA,5019.22928541831,Latin America & Caribbean,Upper middle income,Blend
DNK,Denmark,1990,NA,0,0.9602509,NA,0.6657579,NA,1,NA,NA,45821.0806503851,NA,39306.7939163003,Europe & Central Asia,High income,Not classified
DOM,Dominican Republic,1990,NA,0,0.3062598,NA,0.3402134,NA,0.1032634,NA,NA,7283.26514448824,NA,2794.13532520508,Latin America & Caribbean,Upper middle income,IBRD
DZA,Algeria,1990,NA,0,0.4772959,NA,0.4671566,NA,0.3966363,NA,NA,11728.5457286202,NA,3605.68701213527,Middle East & North Africa,Lower middle income,IBRD
ECU,Ecuador,1990,NA,0,0.4803854,NA,0.4193991,NA,0.3281306,NA,NA,9093.61180260214,NA,3919.71758067093,Latin America & Caribbean,Upper middle income,IBRD
EGY,"Egypt, Arab Rep.",1990,NA,0.1111111,0.2853522,NA,0.3768652,NA,0.1733336,NA,NA,8006.62143741369,NA,1972.13789303215,Middle East & North Africa,Lower middle income,IBRD
ESP,Spain,1990,NA,0,0.8261064,NA,0.5618107,NA,0.8880813,NA,NA,31773.2267474318,35.1574354271674,19174.7708317507,Europe & Central Asia,High income,Not classified
EST,Estonia,1990,NA,0,0.6439071,NA,NA,NA,0.7429525,NA,NA,19360.0271803713,NA,9341.22537547479,Europe & Central Asia,High income,Not classified
ETH,Ethiopia,1990,NA,0,0.2372938,NA,0.3945802,NA,0.4992438,NA,NA,874.346891442491,47.1758923635809,277.768887497322,Sub-Saharan Africa,Low income,IDA
FIN,Finland,1990,NA,0,0.8055407,NA,0.6149805,NA,0.8893116,NA,NA,38785.0708768205,10.4750437379078,31291.522300093,Europe & Central Asia,High income,Not classified
FJI,Fiji,1990,NA,0.1111111,0.4007248,NA,0.486653,NA,0.6001595,NA,NA,8126.89069259408,NA,3414.95056285258,East Asia & Pacific,Upper middle income,Blend
FRA,France,1990,NA,0.1111111,0.7721468,NA,0.5565991,NA,0.7927295,NA,NA,38655.885692544,NA,27992.9751563018,Europe & Central Asia,High income,Not classified
FSM,"Micronesia, Fed. Sts.",1990,NA,0,NA,NA,NA,NA,NA,NA,NA,3136.9514332942,NA,2410.22248315814,East Asia & Pacific,Lower middle income,IDA
GAB,Gabon,1990,NA,0,0.4691842,NA,0.392853,NA,0.1990687,NA,NA,23884.8106997586,NA,8354.26309000876,Sub-Saharan Africa,Upper middle income,IBRD
GBR,United Kingdom,1990,NA,0,0.7678369,NA,0.5040388,NA,0.8651147,NA,NA,34307.9389114284,30.2033709452908,30876.3706304517,Europe & Central Asia,High income,Not classified
GEO,Georgia,1990,NA,0,0.4055462,NA,NA,NA,0.2556779,NA,NA,12917.0944269361,NA,3534.03227732782,Europe & Central Asia,Upper middle income,IBRD
GHA,Ghana,1990,NA,0.1111111,0.5899801,NA,0.5204164,NA,0.2116586,NA,NA,2785.67114332501,NA,855.319362110805,Sub-Saharan Africa,Lower middle income,IDA
GIN,Guinea,1990,NA,0,0.3245725,NA,0.3601909,NA,0.1021879,NA,NA,2105.74729496232,NA,548.371534819426,Sub-Saharan Africa,Low income,IDA
GMB,"Gambia, The",1990,NA,0,0.471114,NA,0.3275917,NA,0.5140215,NA,NA,2653.78291392125,NA,658.711165332156,Sub-Saharan Africa,Low income,IDA
GNB,Guinea-Bissau,1990,NA,0,0.3772683,NA,0.4019374,NA,0.2751105,NA,NA,1913.54990898225,NA,569.169670374215,Sub-Saharan Africa,Low income,IDA
GNQ,Equatorial Guinea,1990,NA,0,0.2831363,NA,0.3580758,NA,0.083967,NA,NA,1122.81767364664,NA,366.314404747023,Sub-Saharan Africa,Upper middle income,IBRD
GRC,Greece,1990,NA,0,0.7137294,NA,0.5821854,NA,0.5849152,NA,NA,26916.3124020232,NA,15438.7936734794,Europe & Central Asia,High income,Not classified
GRD,Grenada,1990,NA,0.1111111,NA,NA,NA,NA,NA,NA,NA,8889.36283867657,NA,5102.69172981553,Latin America & Caribbean,Upper middle income,Blend
GTM,Guatemala,1990,NA,0.1111111,0.3100279,NA,0.3356308,NA,0.1914244,NA,NA,7597.36983577074,24.4806851423724,2741.53805312076,Latin America & Caribbean,Upper middle income,IBRD
GUY,Guyana,1990,NA,0.1111111,0.525888,NA,0.4707985,NA,0.3212682,NA,NA,5074.43093463084,NA,2377.21795364949,Latin America & Caribbean,Upper middle income,IDA
HKG,"Hong Kong SAR, China",1990,NA,0,0.7907164,NA,NA,NA,0.8031007,NA,NA,31598.8941926887,NA,21357.3625408812,East Asia & Pacific,High income,Not classified
HND,Honduras,1990,NA,0.1111111,0.4419143,NA,0.3072434,NA,0.1926781,NA,NA,4427.04022067658,NA,1729.83142779417,Latin America & Caribbean,Lower middle income,IDA
HRV,Croatia,1990,NA,0,NA,NA,NA,NA,NA,NA,NA,23399.7424980871,NA,9753.60487836725,Europe & Central Asia,High income,IBRD
HTI,Haiti,1990,NA,0.1111111,0.3733227,NA,0.4008081,NA,0.1689074,NA,NA,3946.36564580421,NA,1627.31264525633,Latin America & Caribbean,Lower middle income,IDA
HUN,Hungary,1990,NA,0,0.7971442,NA,0.6430488,NA,0.5882344,NA,NA,21268.6008265842,NA,8613.83221773283,Europe & Central Asia,High income,Not classified
IDN,Indonesia,1990,NA,0.1111111,0.3106678,NA,0.3324154,NA,0.0329934,NA,NA,4873.05380133263,45.7414523316285,1470.91822263911,East Asia & Pacific,Lower middle income,IBRD
IND,India,1990,NA,0.3333333,0.5629057,NA,0.5247351,NA,0.4608732,NA,NA,2203.14703867968,50.7832537948314,537.870269533789,South Asia,Lower middle income,IBRD
IRL,Ireland,1990,NA,0,0.7310283,NA,0.5346784,NA,0.7234495,NA,NA,29593.9227199518,NA,23481.3128567371,Europe & Central Asia,High income,Not classified
IRN,"Iran, Islamic Rep.",1990,NA,0,0.418275,NA,0.4013336,NA,0.3339846,NA,NA,9046.58484470857,NA,3222.20102704478,Middle East & North Africa,Lower middle income,IBRD
IRQ,Iraq,1990,NA,0,0.2742417,NA,0.2857637,NA,0.1815482,NA,NA,10735.09411029,NA,3526.57925126853,Middle East & North Africa,Upper middle income,IBRD
ISL,Iceland,1990,NA,0,NA,NA,0.5713181,NA,0.9182608,NA,NA,40118.1799324603,29.9143656494847,35417.1490966556,Europe & Central Asia,High income,Not classified
ISR,Israel,1990,NA,0,0.675941,NA,0.5639498,NA,0.7684445,NA,NA,25163.0438070531,132.356908481771,22307.4301634161,Middle East & North Africa,High income,Not classified
ITA,Italy,1990,NA,0.1111111,0.7240357,NA,0.5763276,NA,0.6127148,NA,NA,42656.7445354302,NA,27625.1792401549,Europe & Central Asia,High income,Not classified
JAM,Jamaica,1990,NA,0.1111111,0.6587628,NA,0.556768,NA,0.6926854,NA,NA,8742.16514897684,138.741327638319,4526.50159323362,Latin America & Caribbean,Upper middle income,IBRD
JOR,Jordan,1990,NA,0,0.4671025,NA,0.4724368,NA,0.5075818,NA,NA,7589.82020149345,128.794683278404,3202.33686003165,Middle East & North Africa,Upper middle income,IBRD
JPN,Japan,1990,NA,0.1111111,NA,NA,0.5296511,NA,0.7770241,NA,NA,35279.9221796985,52.0126920923287,28422.2131195125,East Asia & Pacific,High income,Not classified
KAZ,Kazakhstan,1990,NA,0,0.541506,NA,NA,NA,0.2011639,NA,NA,16837.690749004,NA,5557.08215736977,Europe & Central Asia,Upper middle income,IBRD
KEN,Kenya,1990,NA,0.1111111,0.3783098,NA,0.4400558,NA,0.1685749,NA,NA,4177.48603310346,NA,1329.33312766232,Sub-Saharan Africa,Lower middle income,Blend
KGZ,Kyrgyz Republic,1990,NA,0,0.5931603,NA,NA,NA,0.4301859,NA,NA,6095.68108610235,NA,1203.47208279448,Europe & Central Asia,Lower middle income,IDA
KHM,Cambodia,1990,NA,0,0.2475591,NA,0.3296324,NA,0.3013198,NA,NA,2646.09798836687,NA,824.051655825488,East Asia & Pacific,Lower middle income,IDA
KIR,Kiribati,1990,NA,0,NA,NA,NA,NA,NA,NA,NA,2213.5395392814,NA,1387.65291745794,East Asia & Pacific,Lower middle income,IDA
KNA,St. Kitts and Nevis,1990,NA,0.2222222,NA,NA,NA,NA,NA,NA,NA,14333.8450022097,NA,10136.986550185,Latin America & Caribbean,High income,IBRD
KOR,"Korea, Rep.",1990,NA,0,0.7102928,NA,0.4586939,NA,0.3921086,NA,NA,13839.9889843663,7.44280156883706,9367.09258686755,East Asia & Pacific,High income,Not classified
KWT,Kuwait,1990,NA,0,0.4845725,NA,0.4346337,NA,0.4890842,NA,NA,38737.2096391656,NA,20140.7833621894,Middle East & North Africa,High income,Not classified
LAO,Lao PDR,1990,NA,0,0.4332266,NA,0.4024993,NA,0.2536592,NA,NA,2005.50049410401,NA,634.525297009385,East Asia & Pacific,Lower middle income,IDA
LBN,Lebanon,1990,NA,0,0.3417358,NA,0.4497453,NA,0.1567757,NA,NA,5345.51209718413,NA,2752.72442253257,Middle East & North Africa,Lower middle income,IBRD
LBR,Liberia,1990,NA,0,0.2814409,NA,0.5519508,NA,0.0570356,NA,NA,1866.40548125833,NA,754.134009462384,Sub-Saharan Africa,Low income,IDA
LBY,Libya,1990,NA,0,0.3861509,NA,0.3664607,NA,0.1918038,NA,NA,18121.815654864102,NA,11085.9439949716,Middle East & North Africa,Upper middle income,IBRD
LCA,St. Lucia,1990,NA,0.1111111,NA,NA,NA,NA,NA,NA,NA,17222.0009717488,NA,8418.44604587137,Latin America & Caribbean,Upper middle income,Blend
LKA,Sri Lanka,1990,NA,0.1111111,0.5257437,NA,0.4414461,NA,0.5763501,NA,NA,4561.57913261438,96.5806255127663,1389.41614689913,South Asia,Lower middle income,IBRD
LSO,Lesotho,1990,NA,0,0.4312983,NA,0.5507302,NA,0.3312525,NA,NA,1422.15056881284,NA,533.824964193999,Sub-Saharan Africa,Lower middle income,IDA
LTU,Lithuania,1990,NA,0,0.6683334,NA,NA,NA,0.7667297,NA,NA,20586.2276127503,NA,8333.35053496193,Europe & Central Asia,High income,Not classified
LUX,Luxembourg,1990,NA,0,0.8814852,NA,0.616383,NA,0.924758,NA,NA,81020.6461629014,2.52016078819326,66027.0758007817,Europe & Central Asia,High income,Not classified
LVA,Latvia,1990,NA,0,0.6773504,NA,NA,NA,0.6746519,NA,NA,17508.8436591613,NA,7622.69843955032,Europe & Central Asia,High income,Not classified
MAC,"Macao SAR, China",1990,NA,0,NA,NA,NA,NA,NA,NA,NA,55243.3259217146,NA,31369.8635643468,East Asia & Pacific,High income,Not classified
MAR,Morocco,1990,NA,0,0.4642813,NA,0.3260944,NA,0.3060179,NA,NA,4418.66015625,87.1967599759139,1695.63647460938,Middle East & North Africa,Lower middle income,IBRD
MCO,Monaco,1990,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,105878.37276656,Europe & Central Asia,High income,Not classified
MDA,Moldova,1990,NA,0,NA,NA,NA,NA,0.3576865,NA,NA,15902.8943232278,NA,3740.10149814887,Europe & Central Asia,Upper middle income,IBRD
MDG,Madagascar,1990,NA,0,0.3276939,NA,0.4312348,NA,0.3129958,NA,NA,1975.1465684083,NA,538.536275056569,Sub-Saharan Africa,Low income,IDA
MDV,Maldives,1990,NA,0.1111111,0.4885304,NA,0.3814676,NA,0.2662572,NA,NA,8907.11121983735,30.7823377634974,4590.26356695948,South Asia,Upper middle income,IDA
MEX,Mexico,1990,NA,0.1111111,0.397829,NA,0.3693003,NA,0.1869473,NA,NA,17169.5925872661,46.6268573934833,8036.86114412537,Latin America & Caribbean,Upper middle income,IBRD
MHL,Marshall Islands,1990,NA,0,NA,NA,NA,NA,NA,NA,NA,3905.58584884048,NA,3148.09977817114,East Asia & Pacific,Upper middle income,IDA
MKD,North Macedonia,1990,NA,0,NA,NA,NA,NA,NA,NA,NA,12904.5564982525,NA,3534.32265095546,Europe & Central Asia,Upper middle income,IBRD
MLI,Mali,1990,NA,0,0.4122809,NA,0.3952664,NA,0.2097293,NA,NA,1473.79429834892,NA,457.445829210427,Sub-Saharan Africa,Low income,IDA
MLT,Malta,1990,NA,0.1111111,0.6970707,NA,0.5066168,NA,0.642847,NA,NA,18183.1872151072,20.1391925335712,10067.6981674592,Middle East & North Africa,High income,Not classified
MMR,Myanmar,1990,NA,0,0.290881,NA,NA,NA,0.0992725,NA,NA,775.328254381946,NA,170.233436726358,East Asia & Pacific,Lower middle income,IDA
MNG,Mongolia,1990,NA,0,0.5472355,NA,0.5673552,NA,0.6401906,NA,NA,6637.81926731198,NA,1823.45623781461,East Asia & Pacific,Lower middle income,IBRD
MOZ,Mozambique,1990,NA,0.1111111,0.3933147,NA,0.4648541,NA,0.5153961,NA,NA,547.622781432196,NA,221.048981086396,Sub-Saharan Africa,Low income,IDA
MRT,Mauritania,1990,NA,0,0.2891711,NA,NA,NA,0.2097101,NA,NA,5519.61034144322,NA,1437.75048235693,Sub-Saharan Africa,Lower middle income,IDA
MUS,Mauritius,1990,NA,0.1111111,0.6050793,NA,0.5099674,NA,0.4445505,NA,NA,8951.33801354384,39.1235900360959,3810.48083308592,Sub-Saharan Africa,Upper middle income,IBRD
MWI,Malawi,1990,NA,0.1111111,0.4941162,NA,0.3542706,NA,0.7995646,NA,NA,1047.46436351132,NA,353.77130371544,Sub-Saharan Africa,Low income,IDA
MYS,Malaysia,1990,NA,0.1111111,0.4608782,NA,0.4252169,NA,0.4037609,NA,NA,12013.6969483112,79.5366179323318,4184.76072928976,East Asia & Pacific,Upper middle income,IBRD
NAM,Namibia,1990,NA,0,0.5905892,NA,0.4849608,NA,0.6462106,NA,NA,7281.77892577888,NA,2857.33777498196,Sub-Saharan Africa,Upper middle income,IBRD
NER,Niger,1990,NA,0,0.5430615,NA,0.4971547,NA,0.3854584,NA,NA,1411.84892200281,NA,465.923889536505,Sub-Saharan Africa,Low income,IDA
NGA,Nigeria,1990,NA,0.1111111,0.3207674,NA,0.4889581,NA,0.1373573,NA,NA,3650.67300166823,NA,1577.1961662774,Sub-Saharan Africa,Lower middle income,Blend
NIC,Nicaragua,1990,NA,0.1111111,0.3819376,NA,0.5438905,NA,0.4359503,NA,NA,4183.01713355202,NA,1260.87697668085,Latin America & Caribbean,Lower middle income,IDA
NLD,Netherlands,1990,NA,0,0.8082727,NA,0.6099869,NA,0.8915344,NA,NA,43128.3126671388,54.7226413816017,31308.9134353062,Europe & Central Asia,High income,Not classified
NOR,Norway,1990,NA,0.1111111,0.8895106,NA,0.6790967,NA,0.935802,NA,NA,57106.8839554335,19.8470116461584,49937.4557760277,Europe & Central Asia,High income,Not classified
NPL,Nepal,1990,NA,0,0.4722455,NA,0.4634117,NA,0.1648956,NA,NA,1808.26490041654,52.6205809545912,422.724738575869,South Asia,Lower middle income,IDA
NRU,Nauru,1990,NA,0,NA,NA,NA,NA,NA,NA,NA,30546.3017969817,NA,20743.0546568632,East Asia & Pacific,High income,IBRD
NZL,New Zealand,1990,NA,0.2222222,0.8106147,NA,0.5383257,NA,0.9201809,NA,NA,30685.2115275109,NA,26391.1425882701,East Asia & Pacific,High income,Not classified
OMN,Oman,1990,NA,0,0.5621985,NA,0.3505467,NA,0.6154976,NA,NA,35201.5524871089,NA,16629.4556601528,Middle East & North Africa,High income,Not classified
PAK,Pakistan,1990,NA,0.1111111,0.5108949,NA,0.3635066,NA,0.2272253,NA,NA,3199.72962609833,78.7725350870327,950.884644833285,South Asia,Lower middle income,Blend
PAN,Panama,1990,NA,0,0.5766199,NA,0.5895674,NA,0.2966067,NA,NA,11335.9353672029,NA,5333.21870442352,Latin America & Caribbean,High income,IBRD
PER,Peru,1990,NA,0,NA,NA,0.4663219,NA,0.3494262,NA,NA,6318.20326234261,189.246285557642,2706.92253156841,Latin America & Caribbean,Upper middle income,IBRD
PHL,Philippines,1990,NA,0.1111111,0.5935153,NA,0.6157442,NA,0.24942,NA,NA,4504.46230383567,45.0076745112999,1704.07568906112,East Asia & Pacific,Lower middle income,IBRD
PLW,Palau,1990,NA,0,NA,NA,NA,NA,NA,NA,NA,17842.0858585382,NA,13982.8887298451,East Asia & Pacific,Upper middle income,IBRD
PNG,Papua New Guinea,1990,NA,0.1111111,NA,NA,0.4179353,NA,0.3275212,NA,NA,3164.14887342728,48.9532540146935,1892.30679279448,East Asia & Pacific,Lower middle income,Blend
POL,Poland,1990,NA,0,0.6913108,NA,0.6489915,NA,0.8373441,NA,NA,12821.4636316574,NA,5111.3453296443,Europe & Central Asia,High income,IBRD
PRT,Portugal,1990,NA,0,0.754149,NA,0.5719782,NA,0.7814608,NA,NA,27190.5424495409,NA,14593.2547484179,Europe & Central Asia,High income,Not classified
PRY,Paraguay,1990,NA,0,0.3318405,NA,0.3200885,NA,0.03905,NA,NA,9962.48027842986,NA,4059.77343113311,Latin America & Caribbean,Upper middle income,IBRD
QAT,Qatar,1990,NA,0,0.4659101,NA,NA,NA,0.5093136,NA,NA,71584.4466289456,NA,40125.4450320925,Middle East & North Africa,High income,Not classified
ROU,Romania,1990,NA,NA,0.5417835,NA,0.6031016,NA,0.4036066,NA,NA,16316.0371769874,NA,5019.43702748333,Europe & Central Asia,High income,IBRD
RUS,Russian Federation,1990,NA,0,0.514659,NA,NA,NA,0.5082443,NA,NA,29945.146484375,NA,7849.51904296875,Europe & Central Asia,Upper middle income,IBRD
RWA,Rwanda,1990,NA,0.1111111,0.4388134,NA,0.4485765,NA,0.4200211,NA,NA,1122.032403267,49.7969202729087,368.21957991856,Sub-Saharan Africa,Low income,IDA
SAU,Saudi Arabia,1990,NA,0,0.525816,NA,NA,NA,0.4436838,NA,NA,60101.5756256924,NA,25470.2738583136,Middle East & North Africa,High income,Not classified
SDN,Sudan,1990,NA,0,NA,NA,0.3398452,NA,0.1467761,NA,NA,2460.18872070313,NA,764.450439453125,Sub-Saharan Africa,Low income,IDA
SEN,Senegal,1990,NA,0,0.5846137,NA,0.5649486,NA,0.5745624,NA,NA,2923.34412469673,NA,990.777522619822,Sub-Saharan Africa,Lower middle income,IDA
SGP,Singapore,1990,NA,0.1111111,0.854719,NA,0.4706128,NA,0.9760903,NA,NA,45371.0069019267,77.855311856756,23272.7000932159,East Asia & Pacific,High income,Not classified
SLB,Solomon Islands,1990,NA,0.2222222,0.5162647,NA,0.3625872,NA,0.6044613,NA,NA,2352.4197487524,NA,1805.7455346015,East Asia & Pacific,Lower middle income,IDA
SLE,Sierra Leone,1990,NA,0,0.354445,NA,0.3564959,NA,0.1519989,NA,NA,2438.67405538764,NA,886.058367601776,Sub-Saharan Africa,Low income,IDA
SLV,El Salvador,1990,NA,0.1111111,0.2314593,NA,0.3294625,NA,0.1496122,NA,NA,5976.01762522026,NA,2348.20460167761,Latin America & Caribbean,Lower middle income,IBRD
SOM,Somalia,1990,NA,0,0.3430082,NA,0.3108526,NA,0.3626545,NA,NA,NA,NA,259.40003710693,Sub-Saharan Africa,Low income,IDA
