country_name,country_code,year,cgdppc,govdebt,region,income,lending
Afghanistan,AFG,1993,NA,NA,South Asia,Low income,IDA
Afghanistan,AFG,2022,377.665627080705,NA,South Asia,Low income,IDA
Afghanistan,AFG,2018,553.125151688293,NA,South Asia,Low income,IDA
Afghanistan,AFG,1992,NA,NA,South Asia,Low income,IDA
Afghanistan,AFG,2004,338.637273888197,NA,South Asia,Low income,IDA
Afghanistan,AFG,1990,NA,NA,South Asia,Low income,IDA
Afghanistan,AFG,2017,562.769574140988,NA,South Asia,Low income,IDA
Afghanistan,AFG,2020,527.834554499306,NA,South Asia,Low income,IDA
Afghanistan,AFG,2021,408.625855217403,NA,South Asia,Low income,IDA
Afghanistan,AFG,2009,488.830652491949,NA,South Asia,Low income,IDA
Afghanistan,AFG,2023,379.707497269884,NA,South Asia,Low income,IDA
Afghanistan,AFG,2011,525.42698276582,NA,South Asia,Low income,IDA
Afghanistan,AFG,2016,563.872336723147,NA,South Asia,Low income,IDA
Afghanistan,AFG,2019,557.861533207459,NA,South Asia,Low income,IDA
Afghanistan,AFG,2002,338.139973643387,NA,South Asia,Low income,IDA
Afghanistan,AFG,1991,NA,NA,South Asia,Low income,IDA
Afghanistan,AFG,2007,410.757728879097,NA,South Asia,Low income,IDA
Afghanistan,AFG,2012,568.929021458341,NA,South Asia,Low income,IDA
Afghanistan,AFG,1996,NA,NA,South Asia,Low income,IDA
Afghanistan,AFG,2006,367.75831169358,NA,South Asia,Low income,IDA
Afghanistan,AFG,1998,NA,NA,South Asia,Low income,IDA
Afghanistan,AFG,2015,565.569730408751,NA,South Asia,Low income,IDA
Afghanistan,AFG,2013,580.603833333096,NA,South Asia,Low income,IDA
Afghanistan,AFG,2010,542.871030476037,NA,South Asia,Low income,IDA
Afghanistan,AFG,2003,346.071627096223,NA,South Asia,Low income,IDA
Afghanistan,AFG,1994,NA,NA,South Asia,Low income,IDA
Afghanistan,AFG,2008,417.647282647498,NA,South Asia,Low income,IDA
Afghanistan,AFG,2014,575.146245808546,NA,South Asia,Low income,IDA
Afghanistan,AFG,2005,363.640141436773,NA,South Asia,Low income,IDA
Afghanistan,AFG,1999,NA,NA,South Asia,Low income,IDA
Afghanistan,AFG,2000,308.318269746638,NA,South Asia,Low income,IDA
Afghanistan,AFG,1997,NA,NA,South Asia,Low income,IDA
Afghanistan,AFG,1995,NA,NA,South Asia,Low income,IDA
Afghanistan,AFG,2001,277.118051443941,NA,South Asia,Low income,IDA
Africa Eastern and Southern,AFE,2022,1421.58972754715,NA,Aggregates,Aggregates,Aggregates
Africa Eastern and Southern,AFE,2021,1408.86083752216,NA,Aggregates,Aggregates,Aggregates
Africa Eastern and Southern,AFE,1995,1154.82952952235,NA,Aggregates,Aggregates,Aggregates
Africa Eastern and Southern,AFE,1990,1281.46122178296,NA,Aggregates,Aggregates,Aggregates
Africa Eastern and Southern,AFE,1994,1136.52231618488,NA,Aggregates,Aggregates,Aggregates
Africa Eastern and Southern,AFE,2007,1402.32817312956,NA,Aggregates,Aggregates,Aggregates
Africa Eastern and Southern,AFE,2023,1418.3637366532,NA,Aggregates,Aggregates,Aggregates
Africa Eastern and Southern,AFE,1992,1184.31455410794,NA,Aggregates,Aggregates,Aggregates
Africa Eastern and Southern,AFE,2020,1383.37781834824,NA,Aggregates,Aggregates,Aggregates
Africa Eastern and Southern,AFE,2011,1450.05166056896,NA,Aggregates,Aggregates,Aggregates
Africa Eastern and Southern,AFE,1996,1185.99995587343,NA,Aggregates,Aggregates,Aggregates
Africa Eastern and Southern,AFE,2012,1436.17300830714,NA,Aggregates,Aggregates,Aggregates
Africa Eastern and Southern,AFE,2009,1397.87315417454,NA,Aggregates,Aggregates,Aggregates
Africa Eastern and Southern,AFE,2019,1463.13954875332,NA,Aggregates,Aggregates,Aggregates
Africa Eastern and Southern,AFE,2015,1479.56412348117,NA,Aggregates,Aggregates,Aggregates
Africa Eastern and Southern,AFE,1991,1245.4743995977,NA,Aggregates,Aggregates,Aggregates
Africa Eastern and Southern,AFE,2013,1457.90149624789,NA,Aggregates,Aggregates,Aggregates
Africa Eastern and Southern,AFE,2014,1475.66554498481,NA,Aggregates,Aggregates,Aggregates
Africa Eastern and Southern,AFE,2006,1350.79588075011,NA,Aggregates,Aggregates,Aggregates
Africa Eastern and Southern,AFE,2000,1196.89512926095,NA,Aggregates,Aggregates,Aggregates
Africa Eastern and Southern,AFE,2004,1259.18113849332,NA,Aggregates,Aggregates,Aggregates
Africa Eastern and Southern,AFE,1993,1145.06360643273,NA,Aggregates,Aggregates,Aggregates
Africa Eastern and Southern,AFE,2010,1431.32479234312,NA,Aggregates,Aggregates,Aggregates
Africa Eastern and Southern,AFE,2018,1471.2250330059,NA,Aggregates,Aggregates,Aggregates
Africa Eastern and Southern,AFE,1997,1200.39810573878,NA,Aggregates,Aggregates,Aggregates
Africa Eastern and Southern,AFE,2008,1424.25967703716,NA,Aggregates,Aggregates,Aggregates
Africa Eastern and Southern,AFE,1999,1190.10462296124,NA,Aggregates,Aggregates,Aggregates
Africa Eastern and Southern,AFE,2003,1224.83925722882,NA,Aggregates,Aggregates,Aggregates
Africa Eastern and Southern,AFE,2016,1472.63060373892,NA,Aggregates,Aggregates,Aggregates
Africa Eastern and Southern,AFE,1998,1190.19357571923,NA,Aggregates,Aggregates,Aggregates
Africa Eastern and Southern,AFE,2005,1301.71923382969,NA,Aggregates,Aggregates,Aggregates
Africa Eastern and Southern,AFE,2017,1472.73478268631,NA,Aggregates,Aggregates,Aggregates
Africa Eastern and Southern,AFE,2002,1221.23962370701,NA,Aggregates,Aggregates,Aggregates
Africa Eastern and Southern,AFE,2001,1207.19700449299,NA,Aggregates,Aggregates,Aggregates
Africa Western and Central,AFW,2002,1285.71218344687,NA,Aggregates,Aggregates,Aggregates
Africa Western and Central,AFW,2013,1791.11398738858,NA,Aggregates,Aggregates,Aggregates
Africa Western and Central,AFW,2001,1202.42388981194,NA,Aggregates,Aggregates,Aggregates
Africa Western and Central,AFW,2012,1733.89775284292,NA,Aggregates,Aggregates,Aggregates
Africa Western and Central,AFW,1990,1247.04787549047,NA,Aggregates,Aggregates,Aggregates
Africa Western and Central,AFW,1994,1139.20170312189,NA,Aggregates,Aggregates,Aggregates
Africa Western and Central,AFW,1993,1173.7255055422,NA,Aggregates,Aggregates,Aggregates
Africa Western and Central,AFW,2020,1751.19501048234,NA,Aggregates,Aggregates,Aggregates
Africa Western and Central,AFW,1991,1226.86276969981,NA,Aggregates,Aggregates,Aggregates
Africa Western and Central,AFW,2018,1798.33978321279,NA,Aggregates,Aggregates,Aggregates
Africa Western and Central,AFW,1997,1168.59229429733,NA,Aggregates,Aggregates,Aggregates
Africa Western and Central,AFW,1992,1221.82126001405,NA,Aggregates,Aggregates,Aggregates
Africa Western and Central,AFW,1995,1129.4175308288,NA,Aggregates,Aggregates,Aggregates
Africa Western and Central,AFW,1996,1150.09173760555,NA,Aggregates,Aggregates,Aggregates
